기간,자치구,발생,발생,발생,발생,소실,소실,소실,피해액,피해액,피해액,재산피해경감액,인명피해,인명피해,인명피해,이재민수,구조인원
기간,자치구,합계,실화,방화,기타,동수(동),이재가구수(가구),면적(㎡),합계,부동산,동산,재산피해경감액,합계,사망,부상,이재민수,구조인원
2014,동대문구,221 ,187 ,15 ,19 ,24 ,4 ,871 ,674748 ,144211 ,530537 ,12386951 ,21 ,3 ,18 ,4 ,15 
2014,중랑구,193 ,167 ,8 ,18 ,77 ,7 ,1161 ,441800 ,165981 ,275819 ,21539509 ,12 ,1 ,11 ,21 ,8 
2014,성북구,175 ,156 ,4 ,15 ,19 ,21 ,1019 ,858814 ,311985 ,546829 ,32513428 ,8 ,2 ,6 ,77 ,56 
2014,강북구,189 ,171 ,10 ,8 ,81 ,1 ,805 ,397721 ,215218 ,182503 ,16552081 ,8 ,1 ,7 ,1 ,5 
2014,도봉구,197 ,175 ,9 ,13 ,1 ,-,408 ,265253 ,87309 ,177944 ,6017923 ,6 ,1 ,5 ,-,2 
2014,노원구,252 ,229 ,12 ,11 ,38 ,7 ,4647 ,864136 ,496931 ,367205 ,194783490 ,20 ,2 ,18 ,11 ,3 
2014,은평구,198 ,155 ,8 ,35 ,19 ,2 ,1512 ,338505 ,138268 ,200237 ,4501370 ,11 ,4 ,7 ,4 ,41 
2014,서대문구,212 ,188 ,8 ,16 ,16 ,-,455 ,184698 ,80578 ,104120 ,14342150 ,11 ,1 ,10 ,-,3 
2014,마포구,250 ,224 ,6 ,20 ,62 ,1 ,614 ,344752 ,105120 ,239632 ,10808086 ,11 ,3 ,8 ,7 ,9 
2014,양천구,209 ,181 ,4 ,24 ,8 ,7 ,2554 ,2485314 ,711898 ,1773416 ,926327 ,8 ,3 ,5 ,21 ,16 
2014,강서구,306 ,284 ,6 ,16 ,22 ,4 ,1423 ,677327 ,378070 ,299257 ,28812638 ,43 ,1 ,42 ,8 ,85 
2014,구로구,180 ,151 ,11 ,18 ,56 ,-,1337 ,465208 ,166407 ,298801 ,48527565 ,9 ,-,9 ,-,23 
2014,금천구,126 ,110 ,4 ,12 ,41 ,-,1349 ,776908 ,229239 ,547669 ,24498502 ,1 ,1 ,-,-,-
2014,영등포구,239 ,211 ,13 ,15 ,118 ,2 ,895 ,566276 ,244972 ,321304 ,51644520 ,10 ,2 ,8 ,4 ,14 
2014,동작구,178 ,153 ,10 ,15 ,24 ,3 ,310 ,244248 ,77754 ,166494 ,76097467 ,8 ,-,8 ,6 ,2 
2014,관악구,262 ,236 ,14 ,12 ,48 ,4 ,2861 ,631556 ,291292 ,340264 ,7001434 ,16 ,2 ,14 ,6 ,16 
2014,서초구,331 ,289 ,13 ,29 ,62 ,2 ,1986 ,1260146 ,548867 ,711279 ,72159931 ,8 ,1 ,7 ,6 ,10 
2014,강남구,427 ,386 ,14 ,27 ,57 ,54 ,4106 ,1364100 ,469791 ,894309 ,34107713 ,18 ,1 ,17 ,115 ,23 
2014,송파구,302 ,257 ,13 ,32 ,1 ,-,656 ,772125 ,215485 ,556640 ,62161911 ,18 ,3 ,15 ,-,10 
2014,강동구,240 ,223 ,8 ,9 ,53 ,12 ,1662 ,584161 ,273652 ,310509 ,15344902 ,16 ,1 ,15 ,31 ,19 
2015,합계,5921 ,5191 ,195 ,535 ,699 ,97 ,53787 ,14337272 ,6079645 ,8257627 ,518364712 ,249 ,27 ,222 ,223 ,414 
2015,종로구,260 ,226 ,10 ,24 ,8 ,3 ,1462 ,566923 ,203662 ,363261 ,13229001 ,9 ,4 ,5 ,3 ,5 
2015,중구,237 ,215 ,5 ,17 ,8 ,19 ,1271 ,570265 ,211366 ,358899 ,9997862 ,2 ,-,2 ,19 ,28 
2015,용산구,187 ,158 ,4 ,25 ,2 ,1 ,549 ,402794 ,156875 ,245919 ,12695854 ,3 ,-,3 ,1 ,6 
2015,성동구,197 ,174 ,6 ,17 ,7 ,2 ,792 ,399265 ,156154 ,243111 ,27060239 ,5 ,-,5 ,4 ,4 
