뉴스 식별자,본문
01100501.20200720122006004,"문화일보가 과학계 최첨단 흐름과 직장인을 위한 실용 정보를 담은 새 연재를 시작합니다. 마음속 이야기를 전하는 ‘그립습니다’는 확대 개편됩니다.



과학자가 그리는 과학의 미래  오늘부터 게재



매주 월요일 게재될 ‘21세기 과학의 최전선, 궁극의 질문들’은 인간 중심 사고의 대전환을 사유해 큰 반향을 일으킨 ‘21세기 사상의 최전선’을 잇는 새.."
01100201.20200720121051001,"에프앤가이드는 에이치알자산운용(주) 및 특별관계자의 지분율이 7.31%에서 2.76%로 변동했다고 20일 공시했다. 한편, 에프앤가이드의 12시 09분 현재주가는 7,800원으로 직전 거래일 대비 250원(+3.31%) 상승이며, 거래량은 1,436주이다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관계인을 포함한 .."
01100201.20200720120226001,"20일 오전 12시 코스피(2,194.39p, -6.80p, -0.31%)는 기관 매도가 늘면서 하락세를 보이고 있다. 투자자별 동향을 살펴보면 기관은 1,924억원 순매도했으며, 외국인도 1,295억원 순매도했다. 개인은 3,270억원 순매수하고 있다. 
 
 
 
업종별로는 운수장비(+1.73%)와 의약품(+1.13%) 등이 강세를 보이고 있는 반면.."
01100201.20200720120226002,"20일 오전 12시 코스닥(781.16p, -2.06p, -0.26%)은 외국인 매도가 늘면서 하락세를 보이고 있다. 투자자별 동향을 살펴보면 기관은 167억원 순매도했으며, 외국인도 1,070억원 순매도했다. 개인은 1,290억원 순매수하고 있다. 
 
 
 
업종별로는 정보기기(+1.59%)와 통신장비(+1.56%) 등이 강세를 보이고 있는 반면 디.."
01100201.20200720113905001,"대주산업은 최근 현저한 시황변동에 대한 조회공시 요구에 대해 ""중요한 공시사항이 없다""고 20일 답변했다. 
 
한편, 대주산업의 11시 37분 현재주가는 1,335원으로 직전 거래일 대비 80원(-5.65%) 하락이며, 거래량은 5,342,218주이다. 
 
공시 전문으로 이동 
 
스톡봇 기자 
 
※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 .."
02100201.20200720113249001,"[머니투데이 대전=허재구 기자] ETRI 연구진이 AI가 소리를 주파수 대역별로 나누어 학습을 할 수 있도록 만든 원리를 설명하는 모습./사진제공=ETRI
국내 연구진이 인공지능(AI)을 이용해 소리를 듣고 어떠한 상황인지 음향 인식 기술력을 겨루는 국제대회에서 세계 1위를 차지했다.

한국전자통신연구원(ETRI)은 지난 3일 세계적인 인공지능 기반 음.."
02100101.20200720112727001,"매일 오후 5시 30분, 한국투자증권으로부터 독특한 보고서가 담긴 메일이 날아온다. 오늘의 주요 경제 뉴스와 주목해야 할 기업이 담긴 20쪽 안팎 기업 분석 보고서다. 깔끔한 포맷과 가시성 높은 인포그래픽이 괜찮아 보이지만 특별할 것은 없어 보인다. 어라, 그런데 이거 읽다 보니 여느 보고서와는 다른 점이 눈에 띈다.
인콘, 골드퍼시픽, 중앙오션, 스킨.."
01100201.20200720112516001,"내츄럴엔도텍은 (주)서흥 및 특별관계자의 지분율이 27.6%에서 25.88%로 변동했다고 20일 공시했다. 한편, 내츄럴엔도텍은 거래정지 상태이다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 5%이상 보유하게 될 경우에 5일 이내 발표하는 지분공시다. 일명 ""5%룰""이.."
01100201.20200720112417001,"동국제약은 권기범 및 특별관계자의 지분율이 46.48%에서 46.47%로 변동했다고 20일 공시했다. 한편, 동국제약의 11시 22분 현재주가는 132,500원으로 직전 거래일 대비 500원(+0.38%) 상승이며, 거래량은 10,584주이다. 
 
 
 
공시 전문으로 이동 
 
 
 
* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인.."
02100201.20200720112311001,"[머니투데이 권현수 기자] [경기대 창업지원단 우수기업 김철균 대표 ""국내최초 딥러닝 기반 신호처리 금속검출기로 국내외 업계 혁신을 도모할 것""]

 
기술과 경험이 풍부한 '시니어(중장년층) 창업'이 생존률과 매출 성장가능성 면에서 우수하다는 사실은 기정사실이 됐다. 이는 국내 스타트업의 연차별 창업 생존율 통계수치에서 여실하게 드러난다.

?정부의 .."
